DATE_DEBUT;DATE_FIN;INTITULE_MANIFESTATION;ORGANISATEUR;DISCIPLINE;VILLE_DE_LA_MANIFESTATION;OBJET_DEMANDE;SUBVENTION
22/12/2012;;Tournoi de foot Clisson ;Etoile de clisson football;Football;Clisson;Promotion ;
28/04/2012;29/04/2012;Slalom Automobile ;N.A.S.A.;Automobile;Corcoué sur Logne;Subvention ;1 800 €
24/06/2012;;Les côteaux de la logne Challenge nature loire ocean;A R Sud Lac;Athlétisme;Corcoué sur Logne;Promotion ;
24/06/2012;;Les côteaux de la logne Challenge départemental des courses hors stade;A R Sud Lac;Athlétisme;Corcoué sur Logne;Promotion ;
28/04/2012;29/04/2012;Championnat départemental équitation;Comité départemental;Equitation;Cordemais;Subvention à l'année;
18/02/2012;;Tournoi foot en salle Jérôme BLOMME;Stade Couëronnais Football Club;Football;Couëron;Promotion ;
03/03/2012;;10KM de Couëron;Etoile Sportive Couëronnaise;Athlétisme;Couëron;Subvention ;1 000 €
31/03/2012;;Contest tour (5 étapes du 31 mars au 18 juin);UFOLEP;Roller Skating;Couëron;Promotion ;
07/04/2012;09/04/2012;Tournoi football;Stade Couëronnais Football Club;Football;Couëron;Promotion ;
01/06/2012;;les petits princes du hand;L'étoile sportive couëronnaise;handball;Couëron;Promotion ;
11/11/2012;;Cross de l'Erdurière;Etoile Sportive Coueronnaise;Athlétisme;Couëron;Subvention ;
29/01/2012;;32ème finale coupe de France feminine ;Club de foot de Couffé;Football;Couffé;Promotion ;
14/07/2012;15/07/2012;Concours annuel de ring;Cyno Ring Club Couffé;;Couffé;Promotion ;
08/09/2012;;Cyclo Sportive Jean Cyril Robin;Association Cyclotouriste de Crossac;Cyclisme;Crossac;Subvention ;3 500 €
13/10/2012;14/10/2012;Rallye Erdre atlantique;direction des sports;raid;D'Abbaretz à Nantes;;
17/06/2012;;Trophée vert;société des courses hippiques ;Equitation;Erbray;Promotion ;
01/07/2012;;Rallye du Sillon (9ème);Ecurie 37;Automobile;Fay de Bretagne;Subvention ;1 800 €
22/09/2012;;6 heures roller de fay;Roller Fay de bretagne;Roller Skating;Fay de Bretagne;Promotion ;
27/05/2012;;Tournoi de foot;;Football;Fégréac;Promotion ;
14/10/2012;;Raid du quai vert;UFOLEP;Raid;Frossay;Promotion ;
29/04/2012;;Concours de pêche;Association le gardon genestonnais;pêche;Geneston;Promotion ;
22/04/2012;;concours pêche;Le gardon gorgeois;pêche;Gétigné;Promotion ;
08/05/2012;;Tournoi de foot ;USGétigné;Football;Gétigné;Promotion ;
01/09/2012;02/09/2012;Concours National d'Attelage;Les Attelages de Haute Gente;Equitation;Gétigné;Subvention ;
02/09/2012;;concours pêche;Le gardon gorgeois;pêche;Gétigné;Promotion ;
23/06/2012;24/06/2012;Pagayons en Sèvre et Maine;Comité Départemental 44 de Canoë Kayak;Canoë Kayak;"Gorges
St Fiacre";Subvention ;1 000 €
13/05/2012;;Tournoi de judo;Grandchamp-arts-martiaux;Judo;Grandchamp des fontaines;Promotion ;
15/01/2012;;Championnats départementaux de Cross Country jeunes;Entente Nord Loire;Athlétisme;Guémené Penfao;Subvention ;1 500 €
18/08/2012;19/08/2012;Championnat National auto-poursuite;UFOLEP;Automobile;Guémené Penfao;Subvention ;3 000 €
04/04/2012;;Championnat 44 UNSS VTT;UNSS 44;Cyclisme;Guérande;Promotion ;
25/04/2012;01/05/2012;Tour de Bretagne;Tour de Bretagne Cycliste;Cyclisme;Guérande;Subvention ;"13000 €
2000 €"
23/09/2012;;Courses cyclistes;Club cycliste de Guérande;Cyclisme;Guérande;Promotion ;
04/11/2012;;"36ème corrida de Guérande
(challenge départemental des course HS)";P.G.A.C;Athlétisme;Guérande;Promotion ;
09/06/2012;;Tournoi de foot;Club de foot de haute goulaine;Football;Haute Goulaine;Promotion ;
08/09/2012;;Tournoi U12 et U13 foot;Etoile sportive haute goulaine;Football;Haute Goulaine;Promotion ;
17/03/2012;;Classic Loire Atlantique (13ème);Comité d' Organisation Classic Loire-Atlantique;Cyclisme;Haye-Fouassière;Subvention ;17 000 €
25/02/2012;;Tournoi de football en salle;St Cyr Football Herbignac;Football;Herbignac;Promotion ;
09/04/2012;;Tournoi foot U15;St Cyr Football Herbignac;Football;Herbignac;Promotion ;
01/05/2012;;trophée des 3 îles;Cercle Nautique d'Indre;Aviron;Indre;Promotion ;
27/08/2012;;Stage ASD;ASD;voile;Issé;Promotion ;
18/02/2012;;Tournoi foot en salle;ESJ Football;Football;Joué sur Erdre;Promotion ;
26/05/2012;;Tournoi de basket jeunes;Joué basket;Basket-Ball;Joué sur Erdre;Promotion ;
